Date,CO,NO2,SO2,PM2_5
2018-08-22,1069.4333013654145,17.686679097496704,16.76584211431649,62.90969729907773
2018-08-23,1020.6715171701803,19.1315043897045,16.91483768906375,65.65841828392621
2018-08-24,1059.8785922007569,19.740312355072465,16.689478789038354,65.85480851119894
2018-08-25,936.9402618993979,18.9513146927348,16.74501295917627,67.53004608695652
2018-08-26,931.2538148125972,18.02499878364389,16.84785753933132,69.34598979907773
2018-08-27,984.7987662001013,19.71186652173913,17.109779533171796,77.28652964756259
2018-08-28,980.8661339141626,18.024520688405797,16.76057282852341,64.77002351119896
2018-08-29,988.5817220189117,17.8343381884058,17.05763870605907,72.51384525362319
2018-08-30,1091.9148488065412,18.03438940052701,17.041984937959704,63.59873510210803
2018-08-31,1076.9346215374326,17.745471662431772,17.057923298501606,63.030874041501974
2018-09-01,1013.6971552441659,22.038476824769436,16.78846229700052,98.04964436617728
2018-09-02,1080.632086935237,22.584467950310557,16.843478701829554,99.56394391163184
2018-09-03,1036.3653121596399,22.15646704121965,17.06632454874261,78.09538919301713
2018-09-04,1056.8704451195974,19.05962976849238,17.21051234185927,75.7536377536232
2018-09-05,965.9333474965433,18.05590651091662,17.106944873889315,99.56394391163185
2018-09-06,1003.0866605883418,19.792111662431772,17.059149609212096,62.25639654150198
2018-09-07,1012.2895603000252,17.65084082909844,17.12005152644955,62.25639654150199
2018-09-08,1000.4725127039871,17.52411893515904,17.00178766792735,65.15818449604743
2018-09-09,1036.8613910164893,18.425454616977223,17.083886151332575,62.34406260210803
2018-09-10,1051.2334203361775,17.657565764163373,17.008353960263847,85.87802376011669
2018-09-11,1121.971467258808,22.021982344249956,16.742937963320777,96.35095216920763
2018-09-12,1195.635607294425,21.692769162431773,16.676849906576134,82.35986732072277
2018-09-13,1011.9776872869791,17.71087326416337,16.811673135849112,62.959210253623176
2018-09-14,986.9713688748229,17.790389389704497,16.705802027985815,67.21001252635047
2018-09-15,1049.601612781191,18.49473288537549,17.119217068215278,67.88455078392622
2018-09-16,1071.8172656603942,17.71984204121965,16.83515199613647,82.39303540513835
2018-09-17,1023.2492395473731,18.184534779314884,16.794009490691984,86.2250567687747
2018-09-18,1044.2068136028574,18.28815046113307,16.818352043688062,81.89274745059289
2018-09-19,970.410194034519,18.209640764163375,16.732900949658873,89.64757911725954
2018-09-20,1127.5880154142628,18.228183945981552,16.87587154169393,93.87020989648033
2018-09-21,1024.4896843631989,17.684113177583285,16.853892149630326,97.65690747223793
2018-09-22,937.8746833842282,17.513299995765106,16.86389316921845,77.5385064657444
2018-09-23,940.6184656720534,17.428755753340862,16.642584953211024,80.33465040513835
2018-09-24,932.0928769369337,17.782096824769432,16.663516175313468,77.67972419301712
2018-09-25,966.1904079577258,17.378869249011856,16.9725290976928,90.9157723748353
2018-09-26,944.3760182315945,17.2990034914361,17.47815831876578,87.17544563241107
2018-09-27,993.8976023152973,17.657565764163373,16.856761712690965,96.68363929041976
2018-09-28,936.1828808927145,18.174194465462072,17.014619378831547,87.17544563241104
2018-09-29,934.6090674152463,18.55469940052701,16.850394893962058,89.7517711627141
2018-09-30,952.206376219409,17.503305526068132,16.95296744168009,80.29030608695652
2018-10-01,975.3801466659683,20.466723556371164,17.40915308851888,107.27513830557123
2018-10-02,973.0115015071668,22.457372420007527,16.793832480439686,107.86327588132879
2018-10-03,1002.3465918964935,21.14841332909844,17.183035289608817,107.51966815405609
2018-10-04,1029.4220169931098,18.613853718708828,17.246854432334036,96.21589648738944
2018-10-05,1012.9734924111594,17.354502961133072,17.481000007062566,105.8866162601167
2018-10-06,1000.1429428796746,17.967345233860343,17.289986779518145,99.03795360860154
2018-10-07,922.3147914320792,18.037685688405798,17.00864976954809,80.88152313241106
2018-10-08,996.656923359509,17.96929637022398,16.86800101760687,90.6066948748353
2018-10-09,971.1681695539876,18.80253909749671,16.729992565051177,83.51749495059288
2018-10-10,1194.8260504084421,17.863846900527008,17.839099592298098,102.1593893661773
2018-10-11,1139.750844025822,21.99339272303783,16.929557260643815,117.82025610860154
2018-10-12,1255.5236154214942,22.234530829098436,16.949476628512965,113.60685663890456
2018-10-13,999.6211307341728,18.802539097496705,17.028271023807815,107.52402633587425
2018-10-14,1053.9738102000233,18.090997961133073,17.34519480545947,104.40351709345005
2018-10-15,993.145630581941,19.368612874552984,17.14617350681374,100.58619868435912
2018-10-16,1068.9984756650986,20.00516135940147,16.842363921903825,100.44252027526822
2018-10-17,1103.8774307085669,20.672356738189347,17.65685823006895,127.32724451769245
2018-10-18,1054.423121898581,20.246703177583285,16.974569892378952,126.72009557829851
2018-10-19,1033.4625985103273,18.959051813946918,17.259409639364108,127.042916563147
2018-10-20,1021.8062432710142,21.083357950310557,17.203369471329623,126.85579459345003
2018-10-21,978.6534790220252,20.65547310182571,17.01281162663681,128.62843618435915
2018-10-22,992.4550272576718,20.53329476849238,17.021156414613667,129.1002856540561
2018-10-23,1080.2891822119573,19.027622723037833,16.71042913966612,129.2040224722379
2018-10-24,1050.0491702726902,20.001676813946922,16.67100346628933,128.62843618435912
2018-10-25,1100.3859955866965,21.95289234424995,17.139816706905936,127.5630850479955
2018-10-26,964.917709588361,21.549889173254282,17.97638522738394,127.98540527526822
2018-10-27,987.5483225366071,21.789403339920952,17.33501952851851,126.9302381540561
2018-10-28,1048.4438677052563,21.514225233860344,17.23094743774647,127.98540527526822
