Q,Change in Unemployment Rate,Change in Normalized AQI,City,Quadrant
2019-3,-3.9366666666666665,-0.004683529433435196,Gangtok,4
2019-4,-0.2766666666666673,0.016123779301654706,Agartala,3
2019-4,-0.8533333333333317,0.017092917718030953,Agra,3
2019-4,0.08666666666666778,0.016014382501384677,Aizwal,1
2019-4,-0.23666666666666636,0.01631216404008143,Amritsar,3
2019-4,0.18666666666666565,0.022227745273699112,Asansol,1
2019-4,0.023333333333333428,0.016959718242629207,Aurangabad,1
2019-4,-0.8533333333333317,0.016792384733938515,Bareilly,3
2019-4,1.1866666666666668,0.01655705730488194,Belgaum,1
2019-4,1.1866666666666668,0.01609877387483838,Bengaluru,1
2019-4,-1.2700000000000005,0.019563305771111705,Bhopal,3
2019-4,-0.23666666666666636,0.016249032480518677,Chandigarh,3
2019-4,-0.96,0.01620298872588591,Chennai,3
2019-4,-0.96,0.013256132230761344,Coimbatore,3
2019-4,-0.5599999999999996,0.016371944389870635,Dehradun,3
2019-4,-2.9633333333333347,0.017289451256851107,Delhi,3
2019-4,0.8533333333333317,0.016276518899302816,Faridabad,1
2019-4,0.18333333333333357,0.01465726119457661,Gandhinagar,1
2019-4,-0.8533333333333317,0.017208919401745515,Ghaziabad,3
2019-4,-0.8533333333333317,0.017108332308447244,Gorakhpur,3
2019-4,-1.2700000000000005,0.016865869874180803,Gwalior,3
2019-4,1.81,0.015134114988228725,Hyderabad,1
2019-4,0.08666666666666778,0.015903297668858313,Imphal,1
2019-4,-1.2700000000000005,0.018007532974418358,Indore,3
2019-4,-1.2700000000000005,0.019968999920108907,Jabalpur,3
2019-4,3.3033333333333346,0.016210914424796524,Jaipur,1
2019-4,-0.23666666666666636,0.016799343010345524,Jalandhar,3
2019-4,3.3033333333333346,0.012068987599250847,Jodhpur,1
2019-4,-0.8533333333333317,0.017082416336931056,Kanpur,3
2019-4,0.5566666666666658,0.01715018270435688,Kochi,1
2019-4,0.08666666666666778,0.016094017673826608,Kohima,1
2019-4,0.18666666666666565,0.016569176572777233,Kolkata,1
2019-4,3.3033333333333346,0.01713382855886575,Kota,1
2019-4,0.5566666666666658,0.017178114584684184,Kozhikode,1
2019-4,-0.8533333333333317,0.01687284912985368,Lucknow,3
2019-4,-0.23666666666666636,0.018013341747264183,Ludhiana,3
2019-4,1.1866666666666668,0.017099843751106486,Mangalore,1
2019-4,-0.8533333333333317,0.016581960788452005,Meerut,3
2019-4,-0.8533333333333317,0.016794165479317447,Moradabad,3
2019-4,0.023333333333333428,0.016323779574827058,Mumbai,1
2019-4,1.1866666666666668,0.012731997623201236,Mysuru,1
2019-4,0.023333333333333428,0.016051950629659778,Nashik,1
2019-4,0.2400000000000002,0.01633088020502607,Patna,1
2019-4,-0.8533333333333317,0.016580559934341432,Prayagraj,3
2019-4,-0.7000000000000002,0.016702581577109396,Puducherry,3
2019-4,0.023333333333333428,0.015905250586855102,Pune,1
2019-4,1.3733333333333333,0.015562007423636628,Shillong,1
2019-4,0.023333333333333428,0.024019066777140483,Solapur,1
2019-4,-3.6233333333333313,0.016137512111229158,Srinagar,3
2019-4,0.5566666666666658,0.01728410281014911,Thiruvananthapuram,1
2019-4,-0.8533333333333317,0.01638334811026429,Varanasi,3
2019-4,0.336666666666666,0.01437989687546698,Visakhapatnam,1
2019-4,1.623333333333333,0.01643204080081348,Gangtok,1
2020-1,3.1066666666666656,-0.020076058547330647,Agartala,2
2020-1,-0.33000000000000007,-0.021118026521279254,Agra,4
2020-1,0.2666666666666666,-0.019591568218841754,Aizwal,2
2020-1,0.9266666666666659,-0.02166046814062908,Amritsar,2
2020-1,-0.20999999999999908,-0.021351458887939045,Asansol,4
2020-1,-0.07666666666666622,-0.02075585264191812,Aurangabad,4
2020-1,-0.33000000000000007,-0.02016942868294605,Bareilly,4
2020-1,0.35333333333333306,-0.0208066601486816,Belgaum,2
2020-1,0.35333333333333306,-0.02078271049162403,Bengaluru,2
2020-1,-0.023333333333332984,-0.024433618556421524,Bhopal,4
2020-1,0.9266666666666659,-0.021040342988216054,Chandigarh,2
2020-1,0.16999999999999993,-0.021499972253965938,Chennai,2
2020-1,0.16999999999999993,-0.01908788525487165,Coimbatore,2
2020-1,4.773333333333335,-0.02242585888842262,Dehradun,2
2020-1,4.809999999999999,-0.022061558596243147,Delhi,2
2020-1,0.06666666666666643,-0.021651077715027833,Faridabad,2
2020-1,1.049999999999999,-0.021501872525048177,Gandhinagar,2
2020-1,-0.33000000000000007,-0.021062809202763932,Ghaziabad,4
2020-1,-0.33000000000000007,-0.021059034915819785,Gorakhpur,4
2020-1,-0.023333333333332984,-0.021945508199655323,Gwalior,4
2020-1,1.3566666666666656,-0.021556007400184263,Hyderabad,2
2020-1,0.2666666666666666,-0.02062033633802375,Imphal,2
2020-1,-0.023333333333332984,-0.02329207864701012,Indore,4
2020-1,-0.023333333333332984,-0.023870195082334206,Jabalpur,4
2020-1,-0.9033333333333324,-0.02178419073803234,Jaipur,4
2020-1,0.9266666666666659,-0.01819205597418877,Jalandhar,2
2020-1,-0.9033333333333324,-0.01994884040659471,Jodhpur,4
2020-1,-0.33000000000000007,-0.02134913609982622,Kanpur,4
2020-1,-0.16999999999999993,-0.021479486221384084,Kochi,4
2020-1,0.2666666666666666,-0.020497937934157662,Kohima,2
2020-1,-0.20999999999999908,-0.021441457979494538,Kolkata,4
2020-1,-0.9033333333333324,-0.024266706942083424,Kota,4
2020-1,-0.16999999999999993,-0.02680311242307598,Kozhikode,4
2020-1,-0.33000000000000007,-0.02154515569445961,Lucknow,4
2020-1,0.9266666666666659,-0.02545515198635498,Ludhiana,2
2020-1,0.35333333333333306,-0.021875647887899183,Mangalore,2
2020-1,-0.33000000000000007,-0.019659499930308577,Meerut,4
2020-1,-0.33000000000000007,-0.02065827143419699,Moradabad,4
2020-1,-0.07666666666666622,-0.020552540202038838,Mumbai,4
2020-1,0.35333333333333306,-0.01906391195017948,Mysuru,2
2020-1,-0.07666666666666622,-0.019182936105754347,Nashik,4
2020-1,-0.04333333333333478,-0.020330383140125974,Patna,4
2020-1,-0.33000000000000007,-0.02039787916991398,Prayagraj,4
2020-1,-0.8633333333333335,-0.023655981750006758,Puducherry,4
2020-1,-0.07666666666666622,-0.022058158405707073,Pune,4
2020-1,-0.5999999999999996,-0.019243333589729017,Shillong,4
2020-1,-0.07666666666666622,-0.015180929928869477,Solapur,4
2020-1,3.1900000000000013,-0.021999442279119097,Srinagar,2
2020-1,-0.16999999999999993,-0.02342560430763406,Thiruvananthapuram,4
2020-1,-0.33000000000000007,-0.02100819160661546,Varanasi,4
2020-1,0.9033333333333342,-0.018473244322499666,Visakhapatnam,2
2020-1,16.853333333333335,-0.03524660625610772,Gangtok,2
2020-2,-2.1899999999999977,-0.03531318664115131,Agartala,4
2020-2,8.25,-0.03664147017428765,Agra,2
2020-2,10.566666666666666,-0.037815067887028424,Aizwal,2
2020-2,5.113333333333333,-0.028901340842195117,Amritsar,2
2020-2,7.776666666666666,-0.04081285771456533,Asansol,2
2020-2,10.053333333333335,-0.03679475511330494,Aurangabad,2
2020-2,8.25,-0.02661791608548575,Bareilly,2
2020-2,16.10666666666667,-0.03528337953391477,Belgaum,2
2020-2,16.10666666666667,-0.03522878555434343,Bengaluru,2
2020-2,9.973333333333334,-0.04273074002747779,Bhopal,2
2020-2,5.113333333333333,-0.035683806136709045,Chandigarh,2
2020-2,28.376666666666665,-0.04376177270439838,Chennai,2
2020-2,28.376666666666665,-0.03516405281737184,Coimbatore,2
2020-2,-2.410000000000001,-0.03743087849864514,Dehradun,4
2020-2,7.676666666666669,-0.03503641395062507,Delhi,2
2020-2,9.259999999999998,-0.034349284827199955,Faridabad,2
2020-2,5.146666666666669,-0.03955343788781024,Gandhinagar,2
2020-2,8.25,-0.03475148856904653,Ghaziabad,2
2020-2,8.25,-0.031209248614862017,Gorakhpur,2
2020-2,9.973333333333334,-0.03139601907710084,Gwalior,2
